EmpID,ProjectID,DateFrom,DateTo
1001,10,19-03-2015,11/10/2020
1002,9,12-10-2019,09/24/2021
1003,9,11/26/2013,10-09-2022
1004,10,31/10/2018,NULL
1005,10,12/30/2011,NULL
1006,2,03/09/2017,NULL
1007,2,2014-06-09,07/12/2021
1008,9,26-04-2010,2020-05-16
1009,6,03-05-2013,NULL
1010,8,01-08-2012,02/10/2021
1011,2,28/01/2017,NULL
1012,9,10/29/2013,NULL
1013,10,24/02/2014,NULL
1014,6,16-04-2017,NULL
1015,6,2016-11-03,NULL
1016,2,19-04-2014,NULL
1017,9,25/03/2018,NULL
1018,10,03/16/2013,NULL
1019,10,22/11/2011,NULL
1020,8,12/02/2019,NULL
1021,2,04/04/2014,17/06/2021
1022,8,2010-11-19,12/10/2021
1023,8,12/28/2014,03/16/2020
1024,6,01/21/2019,NULL
1025,2,07/02/2011,25/08/2020
1026,5,24/10/2018,NULL
1027,2,08/13/2019,NULL
1028,10,15/07/2018,NULL
1029,8,31-03-2014,23/03/2020
1030,2,14-09-2016,NULL
1031,10,27-02-2017,05/05/2020
1032,2,12/13/2011,NULL
1033,2,11/12/2012,NULL
1034,8,27-05-2010,23/07/2022
1035,2,17-02-2017,NULL
1036,2,2012-04-08,03-01-2022
1037,9,2014-06-03,23-10-2022
1038,2,31-05-2016,NULL
1039,6,20/06/2016,28-04-2022
1040,8,2017-10-06,NULL
1041,2,07/11/2012,10/25/2022
1042,2,11/11/2016,07/08/2021
1043,5,20/06/2011,13/04/2022
1044,2,04/10/2018,2022-11-12
1045,10,02/02/2016,NULL
1046,9,16/12/2010,03/20/2021
1047,10,08/09/2010,09/21/2021
1048,6,12/12/2016,2022-05-23
1049,9,22/05/2018,NULL
1050,2,21-03-2018,NULL
